id,original,detected_language,confidence,translated_text
67,principis d’economia aplicada,ca,100,principles of applied economy
68,dret mercantil,ca,100,mercantile right
69,estadística 1,ca,100,statistics 1
70,introducció a l’economia,ca,100,introduction to economics
71,introducció a la comptabilitat,ca,100,introduction to accounting
72,matemàtiques 1,ca,100,mathematics 1
73,comptabilitat financera,ca,100,financial accounting
74,macroeconomia,ca,100,macroeconomia
75,matemàtiques 2,ca,100,mathematics 2
76,organització d’empreses,ca,100,organisation of companies
77,principis d’economia aplicada,ca,100,principles of applied economy
78,sociologia de l’empresa,ca,100,sociology of the company
79,fonaments de màrqueting,ca,100,marketing releases
80,dret mercantil,ca,100,mercantile right
81,estadística 1,ca,100,statistics 1
82,introducció a l’economia,ca,100,introduction to economics
83,introducció a la comptabilitat,ca,100,introduction to accounting
84,matemàtiques 1,ca,100,mathematics 1
85,comptabilitat financera,ca,100,financial accounting
86,macroeconomia,ca,100,macroeconomia
87,matemàtiques 2,ca,100,mathematics 2
88,organització d’empreses,ca,100,organisation of companies
89,principis d’economia aplicada,ca,100,principles of applied economy
90,sociologia de l’empresa,ca,100,sociology of the company
91,fonaments de màrqueting,ca,100,marketing releases
92,dret mercantil,ca,100,mercantile right
93,estadística 1,ca,100,statistics 1
94,introducció a l’economia,ca,100,introduction to economics
95,introducció a la comptabilitat,ca,100,introduction to accounting
96,matemàtiques 1,ca,100,mathematics 1
97,comptabilitat financera,ca,100,financial accounting
98,macroeconomia,ca,100,macroeconomia
99,matemàtiques 2,ca,100,mathematics 2
100,organització d’empreses,ca,100,organisation of companies
101,principis d’economia aplicada,en,0,principis d’economia aplicada
102,administració d’empreses,ca,100,business administration
103,dret mercantil,ca,100,mercantile right
104,estadística 1,ca,100,statistics 1
105,introducció a l’economia,ca,100,introduction to economics
106,introducció a la comptabilitat,ca,100,introduction to accounting
107,matemàtiques 1,ca,100,mathematics 1
108,comptabilitat financera,ca,100,financial accounting
109,macroeconomia,ca,100,macroeconomia
110,matemàtiques 2,ca,100,mathematics 2
111,organització d’empreses,ca,100,organisation of companies
112,principis d’economia aplicada,ca,100,principles of applied economy
113,història econòmica,ca,100,economic history
114,estudis en el marc de convenis de mobilitat 1,ca,100,studies in the framework of mobility agreements 1
115,dret mercantil,ca,100,mercantile right
116,estadística 1,ca,100,statistics 1
117,introducció a l’economia,ca,100,introduction to economics
118,introducció a la comptabilitat,ca,100,introduction to accounting
119,matemàtiques 1,ca,100,mathematics 1
120,comptabilitat financera,ca,100,financial accounting
121,macroeconomia,ca,100,macroeconomia
122,matemàtiques 2,ca,100,mathematics 2
123,organització d’empreses,ca,100,organisation of companies
124,principis d’economia aplicada,ca,100,principles of applied economy
125,fonaments de màrqueting,ca,100,marketing releases
126,dret mercantil,ca,100,mercantile right
127,estadística 1,ca,100,statistics 1
128,introducció a l’economia,ca,100,introduction to economics
129,introducció a la comptabilitat,ca,100,introduction to accounting
130,matemàtiques 1,ca,100,mathematics 1
131,comptabilitat financera,ca,100,financial accounting
132,macroeconomia,ca,100,macroeconomia
133,matemàtiques 2,ca,100,mathematics 2
134,organització d’empreses,ca,100,organisation of companies
135,principis d’economia aplicada,ca,100,principles of applied economy
136,fonaments de màrqueting,ca,100,marketing releases
137,adaptació a l’economia i al marketing,ca,100,adaptation to economics and marketing
138,adaptació a l’enologia,ca,100,adaptation to oenology
139,adaptació a la geografia,ca,100,adaptation to geography
140,adaptació a la pràctica enològica,ca,100,adaptation to enological practice
141,adaptació al turisme,ca,100,adaptation to tourism
142,màrqueting enoturístic,ca,100,enoturistic marketing
143,patrimoni enoturístic: disseny d’experiències i eines d’interpretació,ca,100,enoturistic patrimony: design of experiences and interpretation tools
144,patrimoni vitivinícola i: història i territoris,ca,100,wine heritage and: history and territories
145,planificació i desenvolupament sostenible de l’enoturisme,ca,100,planification and sustainable development of wine tourism
146,producció de vins escumosos,ca,100,production of sparkling wines
147,digitalització a l’enoturisme,ca,100,digitalization to wine tourism
148,gestió d’empreses enoturístiques: cap a pràctiques sostenibles,ca,100,management of enoturistic companies: towards sustainable practices
149,patrimoni vitivinícola 2: cultures i mercats del vi,ca,100,wine heritage 2: cultures and wine markets
150,producció de vins dolços i de criança,ca,100,production of sweet and aging wines
151,pràctiques académiques externes en enoturisme,ca,57,external académic practices in wine tourism
152,"tipicitats del vi, maridatge, servei i tast",ca,100,"tipicities of wine, pairing, service and tasting"
153,bioètica i investigació en ciències dels cuidatges,ca,100,bioetics and research in the sciences of caring
154,epistemologia i marcs conceptuals per a la investigació en infermeria,ca,100,epistemology and conceptual frameworks for research in nursing
155,instruments de recerca bibliogràfica,ca,100,bibliographic research instruments
156,investigació avançada en cuidatges,ca,100,advanced research in caring
157,investigació en infermeria des de la perspectiva de gènere,ca,100,research in nursing from the gender perspective
158,investigació aplicada en l’educació per a la salut,ca,100,applied research in health education
159,investigació en cultura i cuidatge,ca,100,research in culture and caring
160,investigació en qualitat de vida i benestar emocional,ca,100,research on the quality of life and emotional well-being
161,"investigació, gestió i lideratge en cuidatges",ca,100,"research, management and leadership in care"
162,mètodes estadístics en data science,ca,100,statistical methods in data science
163,projectes en metodologia i innovació docent,ca,100,projects in methodology and teaching innovation
164,tècniques d’assessorament i coaching en la recerca i pràctica en infermeria,ca,100,advisory and coaching techniques in research and practice in nursing
165,ètica dels cuidatges,ca,100,ethics of caring
166,disseny de projectes de recerca i comunicació científica de resultats,ca,100,design of research projects and scientific communication of results
167,investigació i anàlisi quantitativa,ca,100,quantitative research and analysis
168,investigació qualitativa,ca,100,qualitative research
169,treball de fi de màster,ca,100,Final Masterwork
170,avaluació de mitjans i materials d’ensenyaments,ca,100,evaluation of media and teaching materials
171,comunicació audiovisual en xarxa,ca,100,Networked audiovisual communication
172,creació de continguts per a formació online,ca,100,content creation for online training
173,desenvolupament professional del docent en relació amb les td,ca,100,professional development of the teacher in relation to the td
174,difusió i transferència,ca,100,diffusion and transfer
175,disseny d’investigació,ca,100,investigative design
176,disseny de projectes d’innovació en educació,ca,100,design of innovation projects in education
177,disseny i desenvolupament d’entorns tecnològics per a la formació,ca,100,design and development of technological environments for training
178,disseny i desenvolupament de materials de formació,ca,100,design and development of training materials
179,eines digitals per a la docència,ca,100,digital tools for teaching
180,eines i tècniques per a la recollida i l’anàlisi de dades,ca,100,tools and techniques for data collection and analysis
181,entorns flexibles de formació,ca,100,flexible training environments
182,espais i eines per al treball col·laboratiu,ca,100,spaces and tools for collaborative work
183,gestió del coneixement en les organitzacions,ca,100,Knowledge management in organizations
184,les td en l’àmbit no formal,ca,100,td in the non-formal field
185,metodologia d’investigació en tecnologia educativa,ca,100,research methodology in educational technology
186,organització i gestió de l’ús de les td a l’ensenyament,ca,100,organization and management of the use of tds in teaching
187,"producció i integració d’imatge, àudio i vídeo digital",ca,100,"production and integration of image, audio and digital video"
188,pràctiques acadèmiques externes,ca,100,external academic practices
189,societat en xarxa i ciutadania digital,ca,100,Network society and digital citizenship
190,treball de fi de màster,ca,100,Final Masterwork
191,ètica digital aplicada,ca,100,applied digital ethics
192,"comunicació, interacció i col·laboració",ca,100,"communication, interaction and collaboration"
193,disseny de projectes curriculars amb l’ús de les td,ca,100,design of curriculum projects with the use of tds
194,tecnologies digitals en la formació,ca,100,digital technologies in training
195,aportacions metodològiques del pensament jurídic,ca,100,methodological contributions of legal thought
196,contractació immobiliària,ca,100,Real Estate Contracting
197,contractació laboral nacional i internacional,ca,100,national and international employment contract
198,contractació mercantil,ca,100,mercantile contraction
199,dret concursal,ca,100,concursal place
200,dret de societats,ca,100,right of societies
201,fiscalitat de l’empresa,es,14,fiscalitat de l'empresa
202,fiscalitat de la contractació,ca,100,fascility of recruitment
203,la prova en la litigació empresarial i dels negocis,ca,100,the proof in business and business litigation
204,litigació en els negocis internacionals,ca,100,litigation in international business
205,noves perspectives del dret contractual,ca,100,new perspectives on contractual law
206,pràctiques acadèmiques externes,ca,100,external academic practices
207,resolució judicial de conflictes i arbitratge,ca,100,judicial resolution of conflicts and arbitration
208,treball de fi de màster,ca,100,Final Masterwork
209,introducció al dret i al sistema jurídic espanyol,ca,100,introduction to Spanish law and legal system
210,pràctica civil,ca,100,civil practice
211,"pràctica constitucional, europea i internacional",ca,100,"constitutional, European and international practice"
212,pràctica processal civil,ca,100,civil procedural practice
213,pràctica processal general,ca,100,general procedural practice
214,"normativa col·legial, deontologia i torn d’ofici",ca,100,"collegial norm, deontology and office shift"
215,pràctica laboral i de l’ordre jurisdiccional social,ca,100,labor practice and social jurisdictional order
216,pràctica professional i tècniques de comunicació i probatòries,ca,100,professional practice and communication and probation techniques
217,pràctica tributària i mercantil per a l’exercici de l’advocacia i la procura,ca,100,Tax and mercantile practice for the exercise of law and prosecution
218,pràctiques jurídiques,ca,100,legal practices
219,pràctica administrativa i contenciosa-administrativa,ca,86,administrative and contentious-administrative practice
220,pràctica penal,ca,100,criminal practice
221,pràctica processal penal,ca,100,criminal procedural practice
222,estada de pràctiques externes 1,ca,100,stay of external practices 1
223,estada de pràctiques externes 2,ca,100,stay of external practices 2
224,treball fi de màster,ca,100,Final Masterwork
225,antropologia social i cultural,ca,100,social and cultural anthropology
226,fonaments del treball social,ca,100,fonaments of social work
227,habilitats del treballador/a social,ca,100,skills of social worker
228,psicologia social,ca,100,social psychology
229,sociologia,ca,100,sociology
230,comunicació i societat de la informació,ca,100,communication and information society
231,habilitats socials i comunicació interpersonal,ca,100,social skills and interpersonal communication
232,marginació i exclusió social,ca,100,margination and social exclusion
233,pedagogia social,ca,100,social pedagogy
234,política social,ca,100,socialpolitical
235,intervenció social en l’àmbit de les addiccions,ca,100,social intervention in the field of addictions
236,treball social en l’àmbit educatiu,ca,100,social work in the educational field
237,treball social gerontològic,ca,100,gerontological social work
238,treball social i infància,ca,100,social work and childhood
239,treball social en el sistema sanitari,ca,100,social work in the health system
240,treball social i diversitat funcional,ca,100,social work and functional diversity
241,treball social i emprenedoria social,ca,100,social work and social entrepreneurship
242,treball social i trastorns mentals,ca,100,social work and mental disorders
243,estadística aplicada a l’arqueologia,ca,100,statistics applied to archaeology
244,geologia del quaternari,ca,100,geology of the quaternary
245,mètodes d’excavació i registre en arqueologia del quaternari,ca,100,excavation methods and registration in quaternary archaeology
246,paleoecologia humana,ca,100,human paleoecology
247,prehistòria d’europa,ca,100,prehistory of Europe
248,prehistòria d’àfrica,ca,100,prehistory of Africa
249,prehistòria d’àsia i oceania,ca,100,asia and oceania prehistory
250,elaboració de tesi de màster,ca,100,master's thesis elaboration
251,epistemologia i teoria del coneixement en arqueologia,ca,100,epistemology and knowledge theory in archaeology
252,evolució humana,ca,100,human evolution
253,treball de fi de màster,ca,100,Final Masterwork
254,anàlisi microscòpica en arqueologia,ca,100,microscopic analysis in archaeology
255,arqueobotànica,ca,100,archobotany
256,arqueologia de la ment i cognició,ca,100,archaeology of mind and cognition
257,arqueologia experimental,ca,100,experimental archaeology
258,caracterització cristal·logràfica i química de materials arqueològics,ca,100,crystallographic and chemical characterization of archaeological materials
259,conservació i restauració en arqueologia plistocènica,ca,100,conservation and restoration in Pleistocene archaeology
260,etnoarqueologia,ca,100,etnoarqueologia
261,paleontologia de mamífers: sistemàtica i  evolució,ca,100,mammalian pathology: systematics and evolution
262,prehistòria d’amèrica,ca,100,prehistory of America
263,prehistòria de la península ibèrica,ca,100,prehistory of the Iberian Peninsula
264,tecnologia lítica,ca,100,Lithic technology
265,zooarqueologia i tafonomia,ca,100,zoo archaeology and taphonomy
266,prehistòria d’àfrica,ca,100,prehistory of Africa
267,elaboració de tesi de màster,ca,100,master's thesis elaboration
268,epistemologia i teoria del coneixement en arqueologia,ca,100,epistemology and knowledge theory in archaeology
269,evolució humana,ca,100,human evolution
270,treball de fi de màster,ca,100,Final Masterwork
271,anàlisi microscòpica en arqueologia,ca,100,microscopic analysis in archaeology
272,arqueobotànica,ca,100,archobotany
273,arqueologia de la ment i cognició,ca,100,archaeology of mind and cognition
274,arqueologia experimental,ca,100,experimental archaeology
275,caracterització cristal·logràfica i química de materials arqueològics,ca,100,crystallographic and chemical characterization of archaeological materials
276,conservació i restauració en arqueologia plistocènica,ca,100,conservation and restoration in Pleistocene archaeology
277,etnoarqueologia,ca,100,etnoarqueologia
278,paleontologia de mamífers: sistemàtica i  evolució,ca,100,mammalian pathology: systematics and evolution
279,prehistòria d’amèrica,ca,100,prehistory of America
280,prehistòria de la península ibèrica,ca,100,prehistory of the Iberian Peninsula
281,tecnologia lítica,ca,100,Lithic technology
282,zooarqueologia i tafonomia,ca,100,zoo archaeology and taphonomy
283,estadística aplicada a l’arqueologia,ca,100,statistics applied to archaeology
284,geologia del quaternari,ca,100,geology of the quaternary
285,mètodes d’excavació i registre en arqueologia del quaternari,ca,100,excavation methods and registration in quaternary archaeology
286,paleoecologia humana,ca,100,human paleoecology
287,prehistòria d’europa,ca,100,prehistory of Europe
288,prehistòria d’àfrica,ca,100,prehistory of Africa
289,prehistòria d’àsia i oceania,ca,100,asia and oceania prehistory
290,elaboració de tesi de màster,ca,100,master's thesis elaboration
291,epistemologia i teoria del coneixement en arqueologia,ca,100,epistemology and knowledge theory in archaeology
292,evolució humana,ca,100,human evolution
293,treball de fi de màster,ca,100,Final Masterwork
294,anàlisi microscòpica en arqueologia,ca,100,microscopic analysis in archaeology
295,arqueobotànica,ca,100,archobotany
296,arqueologia de la ment i cognició,ca,100,archaeology of mind and cognition
297,arqueologia experimental,ca,100,experimental archaeology
298,caracterització cristal·logràfica i química de materials arqueològics,ca,100,crystallographic and chemical characterization of archaeological materials
299,conservació i restauració en arqueologia plistocènica,ca,100,conservation and restoration in Pleistocene archaeology
300,etnoarqueologia,ca,100,etnoarqueologia
301,paleontologia de mamífers: sistemàtica i  evolució,es,57,paleontologia de mamifers: systematique i evolució
302,prehistòria d’amèrica,ca,100,prehistory of America
303,prehistòria de la península ibèrica,ca,100,prehistory of the Iberian Peninsula
304,tecnologia lítica,ca,100,Lithic technology
305,zooarqueologia i tafonomia,ca,100,zoo archaeology and taphonomy
306,estructura i canvi social,ca,100,structure and social change
307,expressió oral i locució,ca,100,oral expression and locution
308,món actual,ca,100,present world
309,sistema jurídic-polític,ca,100,legal-political system
310,corrents estètics contemporanis,ca,100,contemporary aesthetic currents
311,fonaments de la comunicació,ca,100,phones of communication
312,projectes de disseny gràfic,ca,100,graphic design projects
313,redacció per a professionals de la comunicació (castellà),ca,100,redaction for communication professionals (in Spanish)
314,redacció per a professionals de la comunicació (català),ca,100,redaction for communication professionals (Catalan)
315,tecnologia i llenguatges audiovisuals,ca,100,technology and audiovisual languages
316,història i estructura de la comunicació,ca,100,history and structure of communication
317,estructura i canvi social,ca,100,structure and social change
318,expressió oral i locució,ca,100,oral expression and locution
319,món actual,ca,100,present world
320,sistema jurídic-polític,ca,100,legal-political system
321,corrents estètics contemporanis,ca,100,contemporary aesthetic currents
322,fonaments de la comunicació,ca,100,phones of communication
323,projectes de disseny gràfic,ca,100,graphic design projects
324,redacció per a professionals de la comunicació (castellà),ca,100,redaction for communication professionals (in Spanish)
325,redacció per a professionals de la comunicació (català),ca,100,redaction for communication professionals (Catalan)
326,tecnologia i llenguatges audiovisuals,ca,100,technology and audiovisual languages
327,història i estructura de la comunicació,ca,100,history and structure of communication
328,estructura i canvi social,ca,100,structure and social change
329,expressió oral i locució,ca,100,oral expression and locution
330,món actual,ca,100,present world
331,sistema jurídic-polític,ca,100,legal-political system
332,corrents estètics contemporanis,ca,100,contemporary aesthetic currents
333,fonaments de la comunicació,ca,100,phones of communication
334,projectes de disseny gràfic,ca,100,graphic design projects
335,redacció per a professionals de la comunicació (castellà),ca,100,redaction for communication professionals (in Spanish)
336,redacció per a professionals de la comunicació (català),ca,100,redaction for communication professionals (Catalan)
337,tecnologia i llenguatges audiovisuals,ca,100,technology and audiovisual languages
338,història i estructura de la comunicació,ca,100,history and structure of communication
339,trastorns del comportament alimentari,ca,100,food behavior disorders
340,trastorns psicòtics i de la personalitat,ca,100,psychotic and personality disorders
341,trastorns emocionals i conductuals en infants i adolescents,ca,100,emotional and behavioral disorders in children and adolescents
342,habilitats bàsiques i deontologia professional en psicologia sanitària,ca,100,basic skills and professional deontology in health psychology
343,pràctiques externes 2,ca,100,external practices 2
344,pràctiques externes 1,ca,100,external practices 1
345,fonaments de la psicologia sanitària,ca,100,Foundations of Health Psychology
346,bases biològiques de la conducta patològica,ca,100,biological bases of pathological behavior
347,avaluació cognitiva en neuropsicologia,ca,100,cognitive evaluation in neuropsychology
348,treball de fi de màster,ca,100,Final Masterwork
349,psicofarmacologia clínica,ca,100,clinical psychopharmacology
350,trastorns de l’agressivitat i la conducta violenta,ca,100,disorders of aggression and violent behavior
351,noves tecnologies en psicologia general sanitària,ca,100,new technologies in general health psychology
352,intervenció en malalties cròniques,ca,100,intervention in chronic diseases
353,psicologia del dolor,ca,100,psicology of pain
354,trastorns emocionals en el cicle vital,ca,100,emotional disorders in the life cycle
355,intervenció neuropsicològica i neurorehabilitació,ca,100,neuropsychological intervention and neurorehabilitation
356,psicopatologia de la primera infància,ca,100,early childhood psychopathology
357,mètodes d’avaluació en psicologia sanitària,ca,100,evaluation methods in health psychology
358,ensenyament i aprenentatge de l’educació física 2,ca,100,teaching and learning physical education 2
359,aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
360,pràctiques externes ii (g.ep),ca,100,external practices ii (g.ep)
361,competència comunicativa i intercultural en llengua estrangera,ca,100,communicative and intercultural competence in the foreign language
362,ensenyament i aprenentatge de llengües i lecto-escriptura 3,ca,100,language teaching and learning and lecto-writing 3
363,"ensenyament i aprenentatge de l’educació musical, visual i plàstica 1",ca,100,"teaching and learning music, visual and plastic education 1"
364,l’escola d’educació infantil,ca,100,the school of child education
365,ensenyament i aprenentatge de les ciències experimentals 1,ca,100,teaching and learning experimental sciences 1
366,ensenyament i aprenentatge de les llengües 3,ca,100,teaching and learning of languages 3
367,ensenyament i aprenentatge de les matemàtiques 3,ca,100,teaching and learning mathematics 3
368,"societat, família i educació",ca,100,"society, family and education"
369,processos i contextos educatius,ca,100,processes and educational contexts
370,habilitats comunicatives,ca,100,comunicatives skills
371,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 2",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 2"
372,treball de fi de grau ii (g.ep),ca,100,final ii degree work (g.ep)
373,treball de fi de grau i (g.ei),ca,100,Final degree work and (g.ei)
374,"ensenyament i aprenentatge de la música, l’expressió plàstica i l’expressió corporal 1",ca,100,"teaching and learning music, plastic expression and body expression 1"
375,"ensenyament i aprenentatge de la música, l’expressió plàstica i l’expressió corporal 2",ca,100,"teaching and learning music, plastic expression and body expression 2"
376,practicum i (g.ei),ca,100,practicum i (g.ei)
377,coneixement i ús de la llengua estrangera 2,ca,100,knowledge and use of the foreign language 2
378,didàctica de la llengua estrangera,ca,100,didactical of the foreign language
379,ensenyament i aprenentatge de llengües i lecto-escriptura 1,ca,100,language teaching and learning and lecto-writing 1
380,ensenyament i aprenentatge de llengües i lecto-escriptura 2,ca,100,language teaching and learning and lecto-writing 2
381,competència comunicativa oral i cultura popular,ca,100,oral communication competence and popular culture
382,ensenyament i aprenentatge de les llengües 2,ca,100,teaching and learning of languages 2
383,ensenyament i aprenentatge de l’educació física 1,ca,100,teaching and learning physical education 1
384,pràctiques externes i (g.ep),ca,100,external practices and (g.ep)
385,coneixement i ús de la llengua estrangera 1,ca,100,knowledge and use of the foreign language 1
386,escola inclusiva i atenció primerenca,ca,100,inclusive school and early attention
387,"infància, salut i alimentació",ca,100,"childhood, health and food"
388,ensenyament i aprenentatge de les ciències socials 2,ca,100,teaching and learning social sciences 2
389,dificultats d’aprenentatge i trastorns del desenvolupament,ca,100,learning difficulties and developmental disorders
390,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 1",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 1"
391,practicum ii (g.ei),ca,100,practicum ii (g.ei)
392,"organització de l’espai escolar, materials i habilitats docents",ca,100,"organization of school space, materials and teaching skills"
393,ensenyament i aprenentatge de les matemàtiques 2,ca,100,teaching and learning mathematics 2
394,assessorament i orientació en educació,ca,100,advice and guidance in education
395,pràcticum,ca,100,practicum
396,habilitats comunicatives,ca,100,comunicatives skills
397,aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
398,política i gestió educativa,ca,100,educational policy and management
399,disseny de recursos educatius i d’entorns tecnològics per a la formació,ca,100,design of educational resources and technological environments for training
400,procés formatiu i aprenentatge adult,ca,100,formative process and adult learning
501,processos i contextos educatius,ca,100,processes and educational contexts
502,pràctiques externes 1,ca,100,external practices 1
503,didàctica de la llengua estrangera,ca,100,didactical of the foreign language
504,ensenyament i aprenentatge de les llengües 3,ca,100,teaching and learning of languages 3
505,ensenyament i aprenentatge de les matemàtiques 1,ca,100,teaching and learning mathematics 1
506,aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
507,ensenyament i aprenentatge de les llengües 2,ca,100,teaching and learning of languages 2
508,ensenyament i aprenentatge de les matemàtiques 2,ca,100,teaching and learning mathematics 2
509,ensenyament i aprenentatge de les ciències socials 2,ca,100,teaching and learning social sciences 2
510,"religió, cultura i valors",ca,100,"religion, culture and values"
511,habilitats comunicatives,ca,100,comunicatives skills
512,ensenyament i aprenentatge de les matemàtiques 3,ca,100,teaching and learning mathematics 3
513,"ensenyament i aprenentatge de l’educació musical, visual i plàstica 1",ca,100,"teaching and learning music, visual and plastic education 1"
514,ensenyament i aprenentatge de l’educació física 1,ca,100,teaching and learning physical education 1
515,"ensenyament i aprenentatge de l’educació musical, visual i plàstica 2",ca,100,"teaching and learning music, visual and plastic education 2"
516,hàbits saludables i estil de vida,ca,100,healthy habits and lifestyle
517,agrupacions musicals,ca,100,musical groups
518,ensenyament i aprenentatge de les llengües 1,ca,100,teaching and learning of languages 1
519,ensenyament i aprenentatge de les ciències experimentals 1,ca,100,teaching and learning experimental sciences 1
520,treball de fi de grau,ca,100,end-of-degree work
521,dificultats d’aprenentatge i trastorns del desenvolupament,ca,100,learning difficulties and developmental disorders
522,ensenyament i aprenentatge de les ciències experimentals 2,ca,100,teaching and learning experimental sciences 2
523,esport extraescolar,ca,100,extracurricular sport
524,activitat física i esportiva a l’edat escolar,ca,100,physical and sports activity at school age
525,dansa: la música en moviment,ca,100,dance: moving music
526,llenguatge musical,ca,100,musical language
527,ensenyament i aprenentatge de les ciències socials 1,ca,100,teaching and learning of social sciences 1
528,intervenció educativa segons les capacitats intel·lectuals de l’alumnat d’educació primària,ca,100,educational intervention according to the intellectual capabilities of primary education students
529,salut i activitat física,ca,100,Health and physical activity
530,recursos per atendre la diversitat a primària,ca,100,resources to attend to diversity in primary
531,coneixement i ús de la llengua estrangera 2,ca,100,knowledge and use of the foreign language 2
532,ensenyament i aprenentatge de l’educació física 2,ca,100,teaching and learning physical education 2
533,audició: les històries de la música,ca,100,audition: the stories of music
534,"atenció a la diversitat social, lingüística i cultural de l’escola",ca,100,"attention to the social, linguistic and cultural diversity of the school"
535,"intervenció psicoeducativa en les dificultats de comunicació, lectura i escriptura",ca,100,"psychoeducational intervention in the difficulties of communication, reading and writing"
536,estadística en ciències del comportament 1,ca,100,Statistics in Behavioral Sciences 1
537,estadística en ciències del comportament 2,ca,100,Statistics in Behavioral Sciences 2
538,psicologia social aplicada,ca,100,applied social psychology
539,tècniques d’intervenció psicosocial,ca,100,psychosocial intervention techniques
540,psicologia dels recursos humans,ca,100,human resource psychology
541,psicobiologia de l’estrès,ca,100,stress psychobiology
542,psicologia experimental,ca,100,experimental psychology
543,dificultats d’aprenentatge,ca,100,learning difficulties
544,tècniques cognitivo-conductuals,ca,100,cognitive-conductual techniques
545,estudis en el marc de convenis de mobilitat,ca,100,studies within the framework of mobility conventions
546,desenvolupament socioafectiu,ca,100,socio-affective development
547,psicopatologia 1,ca,100,psicopathology 1
548,psicologia de la negociació,ca,100,psicology of negotiation
549,història de la psicologia,ca,100,the history of psychology
550,psicologia de les organitzacions,ca,100,psicology of organizations
551,psicologia de la salut,ca,100,Health psychology
